,GeneIndex,Name,Log2FoldChange,AdjustedPValue
5647,5647,BCO2,0.0,1.0
5648,5648,PTS,0.0,1.0
5649,5649,C11orf34,0.0,1.0
5650,5650,AY364433,0.0,1.0
5651,5651,AL833634,0.0,1.0
5652,5652,NCAM1,3.30707338400001,7.369999999999999e-134
5653,5653,U7_27,0.0,1.0
5654,5654,LOC100288346,0.0,1.0
5655,5655,TTC12,0.0,1.0
5656,5656,ANKK1,0.0,1.0
5657,5657,DRD2,0.0,1.0
5658,5658,MI0015828,0.0,1.0
5659,5659,TMPRSS5,0.0,1.0
5660,5660,ZW10,0.0,1.0
5661,5661,CLDN25,0.0,1.0
5662,5662,DL492607,0.0,1.0
5663,5663,USP28,0.0,1.0
5664,5664,HTR3B,0.0,1.0
5665,5665,HTR3A,0.0,1.0
5666,5666,ZBTB16,0.0,1.0
